file,palm,variety_code,session,variety,maturity7,split
B1.S1.B.1.JPG,B1,B,S1,Barhi,1_Immature-1,val
B1.S1.B.10.JPG,B1,B,S1,Barhi,1_Immature-1,val
B1.S1.B.11.JPG,B1,B,S1,Barhi,1_Immature-1,val
B1.S1.B.12.JPG,B1,B,S1,Barhi,1_Immature-1,val
B1.S1.B.13.JPG,B1,B,S1,Barhi,1_Immature-1,val
B1.S1.B.14.JPG,B1,B,S1,Barhi,1_Immature-1,val
B1.S1.B.15.JPG,B1,B,S1,Barhi,1_Immature-1,val
B1.S1.B.16.JPG,B1,B,S1,Barhi,1_Immature-1,val
B1.S1.B.17.JPG,B1,B,S1,Barhi,1_Immature-1,val
B1.S1.B.18.JPG,B1,B,S1,Barhi,1_Immature-1,val
B1.S1.B.19.JPG,B1,B,S1,Barhi,1_Immature-1,val
B1.S1.B.2.JPG,B1,B,S1,Barhi,1_Immature-1,val
B1.S1.B.20.JPG,B1,B,S1,Barhi,1_Immature-1,val
B1.S1.B.21.JPG,B1,B,S1,Barhi,1_Immature-1,val
B1.S1.B.22.JPG,B1,B,S1,Barhi,1_Immature-1,val
B1.S1.B.23.JPG,B1,B,S1,Barhi,1_Immature-1,val
B1.S1.B.24.JPG,B1,B,S1,Barhi,1_Immature-1,val
B1.S1.B.25.JPG,B1,B,S1,Barhi,1_Immature-1,val
B1.S1.B.26.JPG,B1,B,S1,Barhi,1_Immature-1,val
B1.S1.B.27.JPG,B1,B,S1,Barhi,1_Immature-1,val
B1.S1.B.28.JPG,B1,B,S1,Barhi,1_Immature-1,val
B1.S1.B.29.JPG,B1,B,S1,Barhi,1_Immature-1,val
B1.S1.B.3.JPG,B1,B,S1,Barhi,1_Immature-1,val
B1.S1.B.30.JPG,B1,B,S1,Barhi,1_Immature-1,val
B1.S1.B.31.JPG,B1,B,S1,Barhi,1_Immature-1,val
B1.S1.B.4.JPG,B1,B,S1,Barhi,1_Immature-1,val
B1.S1.B.5.JPG,B1,B,S1,Barhi,1_Immature-1,val
B1.S1.B.6.JPG,B1,B,S1,Barhi,1_Immature-1,val
B1.S1.B.7.JPG,B1,B,S1,Barhi,1_Immature-1,val
B1.S1.B.8.JPG,B1,B,S1,Barhi,1_Immature-1,val
B1.S1.B.9.JPG,B1,B,S1,Barhi,1_Immature-1,val
B1.S2.B.1.JPG,B1,B,S2,Barhi,1_Immature-1,val
B1.S2.B.10.JPG,B1,B,S2,Barhi,1_Immature-1,val
B1.S2.B.11.JPG,B1,B,S2,Barhi,1_Immature-1,val
B1.S2.B.12.JPG,B1,B,S2,Barhi,1_Immature-1,val
B1.S2.B.13.JPG,B1,B,S2,Barhi,1_Immature-1,val
B1.S2.B.14.JPG,B1,B,S2,Barhi,1_Immature-1,val
B1.S2.B.15.JPG,B1,B,S2,Barhi,1_Immature-1,val
B1.S2.B.16.JPG,B1,B,S2,Barhi,1_Immature-1,val
B1.S2.B.17.JPG,B1,B,S2,Barhi,1_Immature-1,val
B1.S2.B.18.JPG,B1,B,S2,Barhi,1_Immature-1,val
B1.S2.B.19.JPG,B1,B,S2,Barhi,1_Immature-1,val
